FAC_CODE,FACULTY,CRN,COURSE,COURSETITLE,CRNTITLE,SECTION,CREDITS,SCHEDULETYPE,DAY,CTIME,CAMPUS,BLDG,ROOM,SECTION_CAMPUS,INSTNAME,CAPACITY,ATTRIBUTE_CODE,COURSE_ATTRIBUTE,STATUS,COLL_REST,MAJOR_REST,COURSE_LEVEL
06,Science,11284,CMPS241,Introduction to Programming,Introduction to Programming,B5,3,Lecture,Monday,1001 - 1200,Beirut,HRIR,H1007,Beirut,Layal Imad Abou Daher,30,0600-YCOR,General Science - Core Courses,Closed,"Include:, Science",,Undergraduate
06,Science,11378,PHYS243,General Physics,General Physics,B1,3,Lecture,Monday,1431 - 1600,Beirut,HRIR,HB1 - Jamil Rawwas,Beirut,Alaa Mohammad Abdallah,153,0600-YCOR,General Science - Core Courses,4,,,Undergraduate
06,Science,11283,CMPS241,Introduction to Programming,Introduction to Programming,B4,3,Lecture,Wednesday,1001 - 1200,Beirut,HRIR,H1113,Beirut,May Abdelhafiz Itani,30,0600-YCOR,General Science - Core Courses,Closed,"Include:, Science",,Undergraduate
06,Science,11287,CMPS241,Introduction to Programming,Introduction to Programming,B8,3,Lecture,Wednesday,1001 - 1200,Beirut,HRIR,H712,Beirut,Layal Imad Abou Daher,30,0600-YCOR,General Science - Core Courses,3,"Include:, Science",,Undergraduate
06,Science,11287,CMPS241,Introduction to Programming,Introduction to Programming,B8,3,Lab,Wednesday,1201 - 1400,Beirut,HRIR,H1006 - Computer Lab,Beirut,Hala Ahmad Sweidan,30,0600-YCOR,General Science - Core Courses,3,"Include:, Science",,Undergraduate
06,Science,11285,CMPS241,Introduction to Programming,Introduction to Programming,B6,3,Lecture,Monday,1001 - 1200,Beirut,HRIR,H1007,Beirut,Layal Imad Abou Daher,30,0600-YCOR,General Science - Core Courses,Closed,"Include:, Science",,Undergraduate
06,Science,11949,MATH341,Linear Algebra,Linear Algebra,B2,3,Lecture,Tuesday,1101 - 1400,Beirut,MAIN,M436,Beirut,Toufic Mohamed Anis El- Arwadi,50,0601-Y2COR,Mathematics - Second Year - Core Courses,7,"Include:, Science",,Undergraduate
06,Science,11408,TSHS341,Teaching science in high school,Teaching science in high school,B1,2,Lecture,Tuesday,1131 - 1330,Beirut,HRIR,H1113,Beirut,Wassila Sami El Kanawati,50,0601-Y2COR,Mathematics - Second Year - Core Courses,40,,,Undergraduate
06,Science,11348,MATH341,Linear Algebra,Linear Algebra,B1,3,Lecture,Tuesday,0801 - 1100,Beirut,HRIR,H909,Beirut,Toufic Mohamed Anis El- Arwadi,100,0601-Y2COR,Mathematics - Second Year - Core Courses,7,"Include:, Science",,Undergraduate
06,Science,11352,MATH353,Set Theory,Set Theory,B1,3,Lecture,Wednesday,1401 - 1700,Beirut,HRIR,H907-1,Beirut,Mohamad Nabil Nasser,86,0601-YELC,Mathematics - Elective Courses,Closed,"Include:, Science",,Undergraduate
06,Science,11293,CMPS242,Object Oriented Programming,Object Oriented Programming,B3,3,Lecture,Thursday,0801 - 1000,Beirut,HRIR,H1007,Beirut,Julie Imad Budaher,20,0604-Y1COR,Computer Science - First Year - Core Courses,1,"Include:, Science",,Undergraduate
06,Science,12148,CMPS244,Digital Circuits,Digital Circuits,B2,3,Lecture/Lab,Wednesday,0801 - 1000,Beirut,HRIR,H615/616,Beirut,Layal Imad Abou Daher,30,0604-Y1COR,Computer Science - First Year - Core Courses,Closed,"Include:, Science",,Undergraduate
06,Science,12147,CMPS244,Digital Circuits,Digital Circuits,B1,3,Lab,Tuesday,0801 - 1100,Beirut,HRIR,H1006-1 Computer Lab,Beirut,Sarah Khalid Jrab,30,0604-Y1COR,Computer Science - First Year - Core Courses,3,"Include:, Science",,Undergraduate
06,Science,11293,CMPS242,Object Oriented Programming,Object Oriented Programming,B3,3,Lab,Thursday,1001 - 1300,Beirut,HRIR,Computer Lab - B1 Floor,Beirut,Ali  Ghosson,20,0604-Y1COR,Computer Science - First Year - Core Courses,1,"Include:, Science",,Undergraduate
06,Science,11292,CMPS242,Object Oriented Programming,Object Oriented Programming,B2,3,Lab,Monday,1501 - 1800,Beirut,MAIN,Computer Lab M324,Beirut,Ali  Ghosson,20,0604-Y1COR,Computer Science - First Year - Core Courses,Closed,"Include:, Science",,Undergraduate
06,Science,11454,CMPS248,Discrete Structures I,Discrete Structures I,B2,3,Lab,Thursday,1001 - 1300,Beirut,MAIN,Computer Lab M322,Beirut,Jad Amin Al Ayoubi,30,0604-Y1COR,Computer Science - First Year - Core Courses,3,"Include:, Science",,Undergraduate
06,Science,11453,CMPS248,Discrete Structures I,Discrete Structures I,B1,3,Lecture,Monday,1301 - 1500,Beirut,HRIR,H1007,Beirut,Layal Imad Abou Daher,30,0604-Y1COR,Computer Science - First Year - Core Courses,6,"Include:, Science",,Undergraduate
06,Science,11454,CMPS248,Discrete Structures I,Discrete Structures I,B2,3,Lecture,Monday,1301 - 1500,Beirut,HRIR,H1007,Beirut,Layal Imad Abou Daher,30,0604-Y1COR,Computer Science - First Year - Core Courses,3,"Include:, Science",,Undergraduate
06,Science,11292,CMPS242,Object Oriented Programming,Object Oriented Programming,B2,3,Lecture,Thursday,0801 - 1000,Beirut,HRIR,H1007,Beirut,Julie Imad Budaher,20,0604-Y1COR,Computer Science - First Year - Core Courses,Closed,"Include:, Science",,Undergraduate
06,Science,12148,CMPS244,Digital Circuits,Digital Circuits,B2,3,Lecture,Tuesday,0801 - 1100,Beirut,MAIN,Computer Lab M324,Beirut,Said Jalal Al Hajj Mohammad,30,0604-Y1COR,Computer Science - First Year - Core Courses,Closed,"Include:, Science",,Undergraduate
06,Science,11453,CMPS248,Discrete Structures I,Discrete Structures I,B1,3,Lab,Friday,1331 - 1630,Beirut,HRIR,H1006 - Computer Lab,Beirut,Nada Houssam Baydoun,30,0604-Y1COR,Computer Science - First Year - Core Courses,6,"Include:, Science",,Undergraduate
06,Science,12147,CMPS244,Digital Circuits,Digital Circuits,B1,3,Lecture,Wednesday,0801 - 1000,Beirut,HRIR,H615/616,Beirut,Layal Imad Abou Daher,30,0604-Y1COR,Computer Science - First Year - Core Courses,3,"Include:, Science",,Undergraduate
06,Science,11468,CMPS347,Data Structures,Data Structures,B5,3,Lab,Friday,0801 - 1100,Beirut,HRIR,H1006 - Computer Lab,Beirut,Mohamad Bahij Yassine,30,0604-Y2COR,Computer Science - Second Year - Core Courses,17,"Include:, Science",,Undergraduate
06,Science,11348,MATH341,Linear Algebra,Linear Algebra,B1,3,Lecture,Tuesday,0801 - 1100,Beirut,HRIR,H909,Beirut,Toufic Mohamed Anis El- Arwadi,100,0604-Y2COR,Computer Science - Second Year - Core Courses,7,"Include:, Science",,Undergraduate
06,Science,11305,CMPS343,Computer Organization & Architecture,Computer Organization & Architecture,B1,3,Lecture,Monday,1401 - 1600,Beirut,HRIR,HB2,Beirut,Hussein Zouheir EL Ghor,30,0604-Y2COR,Computer Science - Second Year - Core Courses,8,"Include:, Science",,Undergraduate
06,Science,11307,CMPS343,Computer Organization & Architecture,Computer Organization & Architecture,B3,3,Lecture,Monday,1401 - 1600,Beirut,HRIR,HB2,Beirut,Hussein Zouheir EL Ghor,30,0604-Y2COR,Computer Science - Second Year - Core Courses,5,"Include:, Science",,Undergraduate
06,Science,11309,CMPS343,Computer Organization & Architecture,Computer Organization & Architecture,B5,3,Lab,Thursday,0901 - 1200,Beirut,HRIR,H1006-1 Computer Lab,Beirut,Nada Houssam Baydoun,30,0604-Y2COR,Computer Science - Second Year - Core Courses,9,"Include:, Science",,Undergraduate
06,Science,11310,CMPS343,Computer Organization & Architecture,Computer Organization & Architecture,B6,3,Lab,Friday,0801 - 1100,Beirut,HRIR,H1006-1 Computer Lab,Beirut,Nada Houssam Baydoun,30,0604-Y2COR,Computer Science - Second Year - Core Courses,15,"Include:, Science",,Undergraduate
06,Science,11456,CMPS345,Discrete Structures II,Discrete Structures II,B2,3,Lab,Tuesday,1501 - 1800,Beirut,MAIN,Computer Lab M322,Beirut,Salma Adel Ghali,30,0604-Y2COR,Computer Science - Second Year - Core Courses,18,"Include:, Science",,Undergraduate
06,Science,11457,CMPS345,Discrete Structures II,Discrete Structures II,B3,3,Lecture,Monday,0801 - 1000,Beirut,HRIR,H915/916,Beirut,Lama Ahmed Affara,30,0604-Y2COR,Computer Science - Second Year - Core Courses,5,"Include:, Science",,Undergraduate
06,Science,11460,CMPS345,Discrete Structures II,Discrete Structures II,B6,3,Lecture,Wednesday,1001 - 1200,Beirut,HRIR,HB1 - Jamil Rawwas,Beirut,Lama Ahmed Affara,30,0604-Y2COR,Computer Science - Second Year - Core Courses,17,"Include:, Science",,Undergraduate
06,Science,11304,CMPS342,Database Systems,Database Systems,B2,3,Lab,Wednesday,0901 - 1200,Beirut,MAIN,Computer Lab M324,Beirut,Omar Ibrahim El Nahhas,30,0604-Y2COR,Computer Science - Second Year - Core Courses,17,"Include:, Science",,Undergraduate
06,Science,11467,CMPS347,Data Structures,Data Structures,B4,3,Lab,Thursday,1501 - 1800,Beirut,MAIN,Computer Lab M324,Beirut,Salma Adel Ghali,20,0604-Y2COR,Computer Science - Second Year - Core Courses,Closed,"Include:, Science",,Undergraduate
06,Science,11306,CMPS343,Computer Organization & Architecture,Computer Organization & Architecture,B2,3,Lab,Tuesday,1601 - 1900,Beirut,HRIR,Computer Lab - B1 Floor,Beirut,Nour Ahmad Fatayerji,30,0604-Y2COR,Computer Science - Second Year - Core Courses,10,"Include:, Science",,Undergraduate
06,Science,11309,CMPS343,Computer Organization & Architecture,Computer Organization & Architecture,B5,3,Lecture,Tuesday,1401 - 1600,Beirut,HRIR,HB1 - Jamil Rawwas,Beirut,Hussein Zouheir EL Ghor,30,0604-Y2COR,Computer Science - Second Year - Core Courses,9,"Include:, Science",,Undergraduate
06,Science,11459,CMPS345,Discrete Structures II,Discrete Structures II,B5,3,Lab,Thursday,1201 - 1500,Beirut,MAIN,Computer Lab M324,Beirut,Mohammad Fouad Baghdadi,30,0604-Y2COR,Computer Science - Second Year - Core Courses,16,"Include:, Science",,Undergraduate
06,Science,11464,CMPS347,Data Structures,Data Structures,B1,3,Lab,Monday,1401 - 1700,Beirut,HRIR,,Beirut,Jad Amin Al Ayoubi,20,0604-Y2COR,Computer Science - Second Year - Core Courses,1,"Include:, Science",,Undergraduate
06,Science,11465,CMPS347,Data Structures,Data Structures,B2,3,Lecture,Wednesday,0801 - 1000,Beirut,HRIR,H813,Beirut,Ali Yassine El-Zaart,20,0604-Y2COR,Computer Science - Second Year - Core Courses,2,"Include:, Science",,Undergraduate
06,Science,11458,CMPS345,Discrete Structures II,Discrete Structures II,B4,3,Lab,Thursday,1201 - 1500,Beirut,HRIR,H1006 - Computer Lab,Beirut,Salma Adel Ghali,30,0604-Y2COR,Computer Science - Second Year - Core Courses,7,"Include:, Science",,Undergraduate
06,Science,11456,CMPS345,Discrete Structures II,Discrete Structures II,B2,3,Lecture,Monday,0801 - 1000,Beirut,HRIR,H915/916,Beirut,Lama Ahmed Affara,30,0604-Y2COR,Computer Science - Second Year - Core Courses,18,"Include:, Science",,Undergraduate
06,Science,11303,CMPS342,Database Systems,Database Systems,B1,3,Lab,Wednesday,0901 - 1200,Beirut,MAIN,Computer Lab M322,Beirut,Rayane Moustapha Raba'a,30,0604-Y2COR,Computer Science - Second Year - Core Courses,10,"Include:, Science",,Undergraduate
06,Science,11464,CMPS347,Data Structures,Data Structures,B1,3,Lecture,Monday,1201 - 1400,Beirut,HRIR,H1113,Beirut,Mahmoud Ahmad Al Skafi,20,0604-Y2COR,Computer Science - Second Year - Core Courses,1,"Include:, Science",,Undergraduate
06,Science,11469,CMPS347,Data Structures,Data Structures,B6,3,Lecture,Wednesday,1201 - 1400,Beirut,HRIR,H1113,Beirut,Mahmoud Ahmad Al Skafi,30,0604-Y2COR,Computer Science - Second Year - Core Courses,9,"Include:, Science",,Undergraduate
06,Science,11960,CMPS347,Data Structures,Data Structures,B7,3,Lab,Friday,1631 - 1930,Beirut,HRIR,Computer Lab - B1 Floor,Beirut,Mohammad Fouad Baghdadi,30,0604-Y2COR,Computer Science - Second Year - Core Courses,18,"Include:, Science",,Undergraduate
06,Science,11303,CMPS342,Database Systems,Database Systems,B1,3,Lecture,Monday,0801 - 1000,Beirut,HRIR,قاعة المعارض B1,Beirut,Bilal Ezzeddine Nakhal,30,0604-Y2COR,Computer Science - Second Year - Core Courses,10,"Include:, Science",,Undergraduate
06,Science,11457,CMPS345,Discrete Structures II,Discrete Structures II,B3,3,Lab,Wednesday,0901 - 1200,Beirut,HRIR,H1006-1 Computer Lab,Beirut,Hala Ahmad Sweidan,30,0604-Y2COR,Computer Science - Second Year - Core Courses,5,"Include:, Science",,Undergraduate
06,Science,11308,CMPS343,Computer Organization & Architecture,Computer Organization & Architecture,B4,3,Lecture,Tuesday,1401 - 1600,Beirut,HRIR,HB1 - Jamil Rawwas,Beirut,Hussein Zouheir EL Ghor,30,0604-Y2COR,Computer Science - Second Year - Core Courses,5,"Include:, Science",,Undergraduate
06,Science,11305,CMPS343,Computer Organization & Architecture,Computer Organization & Architecture,B1,3,Lab,Tuesday,1601 - 1900,Beirut,MAIN,Computer Lab M324,Beirut,Rayane Moustapha Raba'a,30,0604-Y2COR,Computer Science - Second Year - Core Courses,8,"Include:, Science",,Undergraduate
06,Science,11455,CMPS345,Discrete Structures II,Discrete Structures II,B1,3,Lecture,Monday,0801 - 1000,Beirut,HRIR,H915/916,Beirut,Lama Ahmed Affara,30,0604-Y2COR,Computer Science - Second Year - Core Courses,4,"Include:, Science",,Undergraduate
06,Science,11307,CMPS343,Computer Organization & Architecture,Computer Organization & Architecture,B3,3,Lab,Thursday,0901 - 1200,Beirut,MAIN,Computer Lab M324,Beirut,Nour Ahmad Fatayerji,30,0604-Y2COR,Computer Science - Second Year - Core Courses,5,"Include:, Science",,Undergraduate
06,Science,11466,CMPS347,Data Structures,Data Structures,B3,3,Lecture,Wednesday,0801 - 1000,Beirut,HRIR,H813,Beirut,Ali Yassine El-Zaart,30,0604-Y2COR,Computer Science - Second Year - Core Courses,4,"Include:, Science",,Undergraduate
06,Science,11960,CMPS347,Data Structures,Data Structures,B7,3,Lecture,Wednesday,1201 - 1400,Beirut,HRIR,H1113,Beirut,Mahmoud Ahmad Al Skafi,30,0604-Y2COR,Computer Science - Second Year - Core Courses,18,"Include:, Science",,Undergraduate
06,Science,11469,CMPS347,Data Structures,Data Structures,B6,3,Lab,Friday,0801 - 1100,Beirut,MAIN,Computer Lab M322,Beirut,Mohammad Fouad Baghdadi,30,0604-Y2COR,Computer Science - Second Year - Core Courses,9,"Include:, Science",,Undergraduate
06,Science,11466,CMPS347,Data Structures,Data Structures,B3,3,Lab,Wednesday,1401 - 1700,Beirut,MAIN,Computer Lab M322,Beirut,Zeina Hassan Al Naamani,30,0604-Y2COR,Computer Science - Second Year - Core Courses,4,"Include:, Science",,Undergraduate
06,Science,11465,CMPS347,Data Structures,Data Structures,B2,3,Lab,Monday,1001 - 1300,Beirut,MAIN,TBA,Beirut,Jad Amin Al Ayoubi,20,0604-Y2COR,Computer Science - Second Year - Core Courses,2,"Include:, Science",,Undergraduate
06,Science,11467,CMPS347,Data Structures,Data Structures,B4,3,Lecture,Monday,1201 - 1400,Beirut,HRIR,H1113,Beirut,Mahmoud Ahmad Al Skafi,20,0604-Y2COR,Computer Science - Second Year - Core Courses,Closed,"Include:, Science",,Undergraduate
06,Science,11304,CMPS342,Database Systems,Database Systems,B2,3,Lecture,Monday,0801 - 1000,Beirut,HRIR,قاعة المعارض B1,Beirut,Bilal Ezzeddine Nakhal,30,0604-Y2COR,Computer Science - Second Year - Core Courses,17,"Include:, Science",,Undergraduate
06,Science,11949,MATH341,Linear Algebra,Linear Algebra,B2,3,Lecture,Tuesday,1101 - 1400,Beirut,MAIN,M436,Beirut,Toufic Mohamed Anis El- Arwadi,50,0604-Y2COR,Computer Science - Second Year - Core Courses,7,"Include:, Science",,Undergraduate
06,Science,11468,CMPS347,Data Structures,Data Structures,B5,3,Lecture,Wednesday,1201 - 1400,Beirut,HRIR,H1113,Beirut,Mahmoud Ahmad Al Skafi,30,0604-Y2COR,Computer Science - Second Year - Core Courses,17,"Include:, Science",,Undergraduate
06,Science,11460,CMPS345,Discrete Structures II,Discrete Structures II,B6,3,Lab,Friday,1331 - 1630,Beirut,HRIR,Computer Lab - B1 Floor,Beirut,Jad Amin Al Ayoubi,30,0604-Y2COR,Computer Science - Second Year - Core Courses,17,"Include:, Science",,Undergraduate
06,Science,11459,CMPS345,Discrete Structures II,Discrete Structures II,B5,3,Lecture,Wednesday,1001 - 1200,Beirut,HRIR,HB1 - Jamil Rawwas,Beirut,Lama Ahmed Affara,30,0604-Y2COR,Computer Science - Second Year - Core Courses,16,"Include:, Science",,Undergraduate
06,Science,11458,CMPS345,Discrete Structures II,Discrete Structures II,B4,3,Lecture,Wednesday,1001 - 1200,Beirut,HRIR,HB1 - Jamil Rawwas,Beirut,Lama Ahmed Affara,30,0604-Y2COR,Computer Science - Second Year - Core Courses,7,"Include:, Science",,Undergraduate
06,Science,11306,CMPS343,Computer Organization & Architecture,Computer Organization & Architecture,B2,3,Lecture,Monday,1401 - 1600,Beirut,HRIR,HB2,Beirut,Hussein Zouheir EL Ghor,30,0604-Y2COR,Computer Science - Second Year - Core Courses,10,"Include:, Science",,Undergraduate
06,Science,11308,CMPS343,Computer Organization & Architecture,Computer Organization & Architecture,B4,3,Lab,Thursday,1601 - 1900,Beirut,HRIR,H1006 - Computer Lab,Beirut,Zeina Hassan Al Naamani,30,0604-Y2COR,Computer Science - Second Year - Core Courses,5,"Include:, Science",,Undergraduate
06,Science,11310,CMPS343,Computer Organization & Architecture,Computer Organization & Architecture,B6,3,Lecture,Tuesday,1401 - 1600,Beirut,HRIR,HB1 - Jamil Rawwas,Beirut,Hussein Zouheir EL Ghor,30,0604-Y2COR,Computer Science - Second Year - Core Courses,15,"Include:, Science",,Undergraduate
06,Science,11455,CMPS345,Discrete Structures II,Discrete Structures II,B1,3,Lab,Tuesday,1201 - 1500,Beirut,HRIR,Computer Lab - B1 Floor,Beirut,Said Jalal Al Hajj Mohammad,30,0604-Y2COR,Computer Science - Second Year - Core Courses,4,"Include:, Science",,Undergraduate
06,Science,11295,CMPS326,Introduction to Human-Computer Interaction,Introduction to Human-Computer Interaction,B1,3,Lab,Friday,1631 - 1930,Beirut,MAIN,Computer Lab M324,Beirut,Nada Houssam Baydoun,30,0604-Y2ELC,Computer Science - Second Year - Elective Courses,8,"Include:, Science",,Undergraduate
06,Science,11300,CMPS327,Image Processing,Image Processing,B2,3,Lab,Friday,1331 - 1630,Beirut,MAIN,Computer Lab M322,Beirut,Rayane Moustapha Raba'a,30,0604-Y2ELC,Computer Science - Second Year - Elective Courses,3,"Include:, Science",,Undergraduate
06,Science,11299,CMPS327,Image Processing,Image Processing,B1,3,Lab,Friday,0801 - 1000,Beirut,HRIR,H911,Beirut,Cerine Ghazi Tafran,30,0604-Y2ELC,Computer Science - Second Year - Elective Courses,1,"Include:, Science",,Undergraduate
06,Science,11300,CMPS327,Image Processing,Image Processing,B2,3,Lecture,Friday,0801 - 1000,Beirut,HRIR,H911,Beirut,Cerine Ghazi Tafran,30,0604-Y2ELC,Computer Science - Second Year - Elective Courses,3,"Include:, Science",,Undergraduate
06,Science,11299,CMPS327,Image Processing,Image Processing,B1,3,Lab,Wednesday,1401 - 1700,Beirut,MAIN,Computer Lab M324,Beirut,Ali  Ghosson,30,0604-Y2ELC,Computer Science - Second Year - Elective Courses,1,"Include:, Science",,Undergraduate
06,Science,11295,CMPS326,Introduction to Human-Computer Interaction,Introduction to Human-Computer Interaction,B1,3,Lecture,Monday,1201 - 1400,Beirut,HRIR,H811/812,Beirut,Bilal Ezzeddine Nakhal,30,0604-Y2ELC,Computer Science - Second Year - Elective Courses,8,"Include:, Science",,Undergraduate
06,Science,11319,CMPS443,Senior Project I,Senior Project I,B1,1,Lecture,Saturday,1001 - 1100,Beirut,TBA,,Beirut,Layal Imad Abou Daher,75,0604-Y3COR,Computer Science - Third Year - Core Courses,28,"Include:, Science",,Undergraduate
06,Science,11480,CMPS447,Computer Networks,Computer Networks,B4,3,Lab,Friday,1331 - 1630,Beirut,HRIR,H1006-1 Computer Lab,Beirut,Mohammad Fouad Baghdadi,30,0604-Y3COR,Computer Science - Third Year - Core Courses,11,"Include:, Science",,Undergraduate
06,Science,11317,CMPS441,Fundamentals of Algorithms,Fundamentals of Algorithms,B4,3,Lab,Thursday,1601 - 1900,Beirut,MAIN,Computer Lab M322,Beirut,Maya Imad Hamd,30,0604-Y3COR,Computer Science - Third Year - Core Courses,9,"Include:, Science",,Undergraduate
06,Science,11319,CMPS443,Senior Project I,Senior Project I,B1,1,Lecture,Saturday,1001 - 1100,Beirut,TBA,,Beirut,Bilal Ezzeddine Nakhal,75,0604-Y3COR,Computer Science - Third Year - Core Courses,28,"Include:, Science",,Undergraduate
06,Science,11319,CMPS443,Senior Project I,Senior Project I,B1,1,Lecture,Saturday,1001 - 1100,Beirut,TBA,,Beirut,Hussein Zouheir EL Ghor,75,0604-Y3COR,Computer Science - Third Year - Core Courses,28,"Include:, Science",,Undergraduate
06,Science,11474,CMPS445,Concepts of Programming Languages,Concepts of Programming Languages,B2,3,Lab,Friday,0801 - 1100,Beirut,HRIR,Computer Lab - B1 Floor,Beirut,Nour Ahmad Fatayerji,30,0604-Y3COR,Computer Science - Third Year - Core Courses,14,"Include:, Science",,Undergraduate
06,Science,11478,CMPS447,Computer Networks,Computer Networks,B2,3,Lecture,Monday,1401 - 1600,Beirut,HRIR,H1005-1,Beirut,Bilal Ezzeddine Nakhal,30,0604-Y3COR,Computer Science - Third Year - Core Courses,9,"Include:, Science",,Undergraduate
06,Science,11476,CMPS445,Concepts of Programming Languages,Concepts of Programming Languages,B4,3,Lab,Thursday,1301 - 1600,Beirut,HRIR,Computer Lab - B1 Floor,Beirut,Maya Imad Hamd,30,0604-Y3COR,Computer Science - Third Year - Core Courses,1,"Include:, Science",,Undergraduate
06,Science,11477,CMPS447,Computer Networks,Computer Networks,B1,3,Lecture,Monday,1401 - 1600,Beirut,HRIR,H1005-1,Beirut,Bilal Ezzeddine Nakhal,20,0604-Y3COR,Computer Science - Third Year - Core Courses,Closed,"Include:, Science",,Undergraduate
06,Science,11319,CMPS443,Senior Project I,Senior Project I,B1,1,Lecture,Saturday,1001 - 1100,Beirut,TBA,,Beirut,Julie Imad Budaher,75,0604-Y3COR,Computer Science - Third Year - Core Courses,28,"Include:, Science",,Undergraduate
06,Science,11477,CMPS447,Computer Networks,Computer Networks,B1,3,Lab,Wednesday,0901 - 1200,Beirut,HRIR,,Beirut,Mohammad Fouad Baghdadi,20,0604-Y3COR,Computer Science - Third Year - Core Courses,Closed,"Include:, Science",,Undergraduate
06,Science,11315,CMPS441,Fundamentals of Algorithms,Fundamentals of Algorithms,B2,3,Lecture,Monday,0801 - 1000,Beirut,HRIR,H1013,Beirut,Mahmoud Ahmad Al Skafi,30,0604-Y3COR,Computer Science - Third Year - Core Courses,2,"Include:, Science",,Undergraduate
06,Science,11319,CMPS443,Senior Project I,Senior Project I,B1,1,Lecture,Saturday,1001 - 1100,Beirut,TBA,,Beirut,May Abdelhafiz Itani,75,0604-Y3COR,Computer Science - Third Year - Core Courses,28,"Include:, Science",,Undergraduate
06,Science,11319,CMPS443,Senior Project I,Senior Project I,B1,1,Lecture,Saturday,1001 - 1100,Beirut,TBA,,Beirut,Mahmoud Ahmad Al Skafi,75,0604-Y3COR,Computer Science - Third Year - Core Courses,28,"Include:, Science",,Undergraduate
06,Science,11473,CMPS445,Concepts of Programming Languages,Concepts of Programming Languages,B1,3,Lecture,Monday,0801 - 1000,Beirut,HRIR,H715/716,Beirut,May Abdelhafiz Itani,30,0604-Y3COR,Computer Science - Third Year - Core Courses,16,"Include:, Science",,Undergraduate
06,Science,11473,CMPS445,Concepts of Programming Languages,Concepts of Programming Languages,B1,3,Lab,Friday,1631 - 1930,Beirut,HRIR,H1006-1 Computer Lab,Beirut,Nour Ahmad Fatayerji,30,0604-Y3COR,Computer Science - Third Year - Core Courses,16,"Include:, Science",,Undergraduate
06,Science,11476,CMPS445,Concepts of Programming Languages,Concepts of Programming Languages,B4,3,Lecture,Thursday,0801 - 1000,Beirut,HRIR,H813,Beirut,May Abdelhafiz Itani,30,0604-Y3COR,Computer Science - Third Year - Core Courses,1,"Include:, Science",,Undergraduate
